"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"BC PRA","BC-A","BC","","BB","11.500000","06/29/2025","10/15/2023","10/15/2048","0.400000","6.50%","26.220000","22.500000","65.69","Consumercyclical","","39.000000","","","","","","23.150000","0.650000","-3.070000","24.120000","24.520000","-4.040000","-5.580000","22.580000","25.430000","22.090000","26.390000","22.920000","0.340000","-2.510000","67.557437","66.499778","77.595506","42.000000","-3.470000","0.830000","49.105812","83.257143"
"BC PRC","BC-C","BC","","BB","11.500000","06/29/2025","4/15/2024","4/15/2049","0.390000","6.38%","25.990000","22.330000","65.69","Consumercyclical","","39.000000","","","","","","22.880000","0.550000","-3.110000","23.830000","24.400000","-4.000000","-6.220000","22.000000","25.500000","21.760000","25.990000","22.660000","0.660000","-2.840000","67.363966","68.768276","71.842697","46.551724","-3.330000","0.900000","47.436662","82.857143"
"BK PRK","BK-K","BK","NFF","","12.500000","06/05/2025","3/20/2030","NONE","0.410000","6.15%","","","715.58","Bank","","15.000000","","","","","","25.510000","","","","","","","24.540000","25.830000","24.540000","25.830000","25.170000","0.630000","-0.660000","","","72.382022","16.482759","-0.660000","0.630000","15.603577","84.400000"
"BML PRG","BML-G","BAC","FLR","","11.000000","05/15/2025","11/28/2009","NONE","0.330000","3.00%","","","7537.21","Bank","","84.000000","","","","","","20.750000","","","22.220000","22.520000","-6.620000","-7.860000","20.250000","23.500000","19.490000","23.680000","20.730000","0.480000","-2.770000","80.036276","74.581303","75.078652","45.586207","-2.950000","1.240000","42.906110","80.914286"
"BML PRH","BML-H","BAC","FLR","","11.000000","05/15/2025","11/28/2009","NONE","0.320000","3.00%","","","7537.21","Bank","","84.000000","","","","","","20.800000","","","22.130000","22.370000","-6.010000","-7.000000","20.090000","23.450000","18.950000","23.450000","20.780000","0.690000","-2.670000","77.085852","71.533008","71.303371","44.206897","-2.670000","1.830000","39.567809","77.542857"
"BML PRJ","BML-J","BAC","FLR","","11.000000","05/15/2025","11/21/2010","NONE","0.330000","4.00%","","","7537.21","Bank","","84.000000","","","","","","22.050000","","","22.910000","23.200000","-3.750000","-4.950000","20.700000","24.690000","20.000000","24.690000","22.030000","1.330000","-2.660000","66.154776","64.266726","59.797753","44.068966","-2.660000","2.030000","39.448584","76.400000"
"BML PRL","BML-L","BAC","FLR","","11.000000","07/01/2025","5/21/2010","NONE","0.320000","4.00%","","","7537.21","Bank","","41.000000","","","","","","21.060000","","","22.650000","23.020000","-7.010000","-8.520000","19.800000","24.770000","19.310000","24.770000","20.890000","1.090000","-3.880000","81.922612","76.920691","64.112360","60.896552","-3.880000","1.580000","53.994039","78.971429"
"BOH PRB","BOH-B","BOH","","","9.500000","07/14/2025","8/1/2029","NONE","0.500000","8.00%","","","39.66","Regionalbank","","54.000000","","","","","","25.620000","","","","","","","24.810000","27.130000","24.810000","27.130000","25.420000","0.610000","-1.710000","","","72.741573","30.965517","-1.710000","0.610000","28.122206","84.514286"
"BPOPM","BPOPM","BPOP","","TP","7.000000","05/15/2025","12/1/2009","12/1/2034","0.130000","6.13%","27.200000","24.510000","69.37","Regionalbank","","84.000000","","","","","","25.600000","1.080000","-1.610000","25.520000","25.520000","0.290000","0.280000","24.890000","26.110000","24.380000","26.250000","25.580000","0.690000","-0.530000","46.614268","45.728844","71.303371","14.689655","-0.670000","1.200000","15.722802","81.142857"
"C PRN","C-N","C","","","10.000000","07/25/2025","10/30/2015","10/30/2040","0.680000","7.88%","","","1868.19","Bank","","65.000000","","","","","","29.900000","","","30.150000","29.940000","-0.830000","-0.130000","29.110000","31.340000","27.820000","31.340000","29.710000","0.600000","-1.630000","52.031439","47.182100","72.921348","29.862069","-1.630000","1.890000","27.168405","77.200000"
"CCIA","CCIA","CCIF","","Term","8.000000","05/19/2025","10/31/2025","10/31/2028","0.180000","8.75%","","","15.39","Cef","","88.000000","","","","","","25.490000","","","25.820000","25.810000","-1.290000","-1.240000","25.000000","27.790000","24.100000","27.790000","25.490000","0.490000","-2.300000","54.256348","51.116526","74.898876","39.103448","-2.300000","1.390000","35.156483","80.057143"
"CFG PRH","CFG-H","CFG","","","10.500000","06/20/2025","7/6/2029","NONE","0.460000","7.38%","","","433.40","Regionalbank","","30.000000","","","","","","26.370000","","","","","","","24.950000","27.690000","24.950000","27.690000","26.060000","1.110000","-1.630000","","","63.752809","29.862069","-1.630000","1.110000","27.168405","81.657143"
"CGBDL","CGBDL","CGBD","","","8.000000","05/15/2025","","","0.510000","","","","72.90","Assetmanagement","","84.000000","","","","","","25.280000","","","25.730000","25.660000","-1.740000","-1.490000","25.050000","26.660000","25.050000","26.660000","25.250000","0.200000","-1.410000","56.432890","52.002658","80.112360","26.827586","-1.410000","0.200000","24.545455","86.857143"
"CHMI PRA","CHMI-A","CHMI","","","8.000000","06/27/2025","8/17/2022","NONE","0.510000","8.20%","22.650000","19.600000","32.66","Reit","","37.000000","","","","","","21.260000","1.660000","-1.390000","21.840000","22.730000","-2.660000","-6.460000","19.200000","24.400000","17.750000","25.000000","20.960000","1.760000","-3.440000","60.882709","69.618963","52.067416","54.827586","-4.040000","3.210000","55.901639","69.657143"
"CHMI PRB","CHMI-B","CHMI","FF","","8.000000","06/27/2025","4/5/2024","NONE","0.640000","8.25%","","","32.66","Reit","","37.000000","","","","","","24.230000","","","24.150000","24.630000","0.310000","-1.620000","22.230000","25.380000","20.200000","25.600000","23.850000","1.620000","-1.530000","46.517533","52.463447","54.584270","28.482759","-1.750000","3.650000","28.599106","67.142857"
