"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"PRIF PRD","PRIF-D","-","","","8.000000","06/20/2025","3/31/2022","6/30/2029","0.440000","7.00%","24.790000","22.450000","-","-","","30.000000","","","","","","","1.790000","-0.550000","24.120000","23.830000","0.510000","1.710000","23.390000","24.780000","20.300000","24.780000","23.950000","0.560000","-0.830000","45.550181","40.660168","73.640449","18.827586","-0.830000","3.650000","17.630402","67.142857"
"PRIF PRF","PRIF-F","-","","","8.000000","06/20/2025","2/25/2023","6/30/2027","0.410000","6.63%","24.600000","23.370000","-","-","","30.000000","","","","","","","1.820000","0.590000","24.550000","24.170000","2.590000","4.220000","23.780000","25.220000","22.220000","25.220000","24.920000","1.140000","-0.300000","35.489722","31.763403","63.213483","11.517241","-0.300000","2.700000","11.311475","72.571429"
"PRIF PRH","PRIF-H","-","","","8.000000","06/20/2025","5/6/2023","12/31/2026","0.380000","6.00%","","","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRIF PRI","PRIF-I","-","","","8.000000","06/20/2025","6/17/2024","6/30/2028","0.380000","6.13%","23.730000","22.130000","-","-","","30.000000","","","","","","","1.530000","-0.070000","23.490000","23.210000","0.730000","1.950000","22.820000","24.980000","21.480000","24.980000","23.410000","0.590000","-1.570000","44.486094","39.809482","73.101124","29.034483","-1.570000","1.930000","26.453055","76.971429"
"PRIF PRJ","PRIF-J","-","","","8.000000","06/20/2025","8/10/2024","12/31/2028","0.380000","6.00%","23.060000","22.360000","-","-","","30.000000","","","","","","","0.760000","0.060000","23.030000","22.930000","0.390000","0.810000","22.330000","23.750000","21.150000","23.750000","22.870000","0.540000","-0.880000","46.130593","43.850244","74.000000","19.517241","-0.880000","1.720000","18.226528","78.171429"
"PRIF PRK","PRIF-K","-","","","8.000000","06/20/2025","9/30/2026","NONE","0.440000","7.00%","23.930000","19.450000","-","-","","30.000000","","","","","","","2.780000","-1.700000","22.190000","21.730000","0.190000","2.280000","20.200000","23.290000","18.960000","23.290000","21.940000","1.740000","-1.350000","47.097944","38.639787","52.426966","26.000000","-1.350000","2.980000","23.830104","70.971429"
"PRIF PRL","PRIF-L","-","","","9.500000","05/30/2025","2/28/2025","3/31/2029","0.400000","6.38%","24.300000","21.960000","-","-","","9.000000","","","","","","","1.560000","-0.780000","23.460000","23.290000","0.250000","1.010000","22.700000","24.270000","21.440000","24.270000","23.160000","0.460000","-1.110000","46.807739","43.141338","75.438202","22.689655","-1.110000","1.720000","20.968703","78.171429"
"QVCC","QVCC","QVCGA","","BB","9.500000","05/30/2025","11/26/2024","11/26/2068","0.390000","6.25%","21.680000","8.350000","403.43","Internetretail","","9.000000","","","","","","","0.200000","-13.130000","10.570000","11.990000","-19.100000","-28.660000","7.420000","14.190000","7.420000","15.100000","8.200000","0.780000","-5.990000","","","69.685393","90.000000","-6.900000","0.780000","90.000000","83.542857"
"QVCD","QVCD","QVCGA","","BB","8.000000","06/27/2025","9/13/2023","9/13/2067","0.400000","6.38%","22.050000","8.310000","403.43","Internetretail","","37.000000","","","","","","","0.290000","-13.450000","10.670000","12.080000","-19.370000","-28.820000","7.230000","14.120000","7.230000","15.200000","8.360000","1.130000","-5.760000","","","63.393258","86.827586","-6.840000","1.130000","89.284650","81.542857"
"RC PRE","RC-E","RC","","","8.000000","01/09/2025","6/10/2026","NONE","0.410000","6.50%","20.710000","17.390000","172.29","Reit","","48.000000","","","","","","","-2.040000","-5.360000","16.810000","18.140000","-8.680000","-15.380000","14.870000","19.730000","14.870000","19.730000","15.160000","0.290000","-4.570000","90.000000","","78.494382","70.413793","-4.570000","0.290000","62.220566","86.342857"
"RCB","RCB","RC","","BB","8.000000","06/24/2025","7/30/2022","7/30/2026","0.390000","6.20%","24.250000","23.450000","172.29","Reit","","34.000000","","","","","","","0.450000","-0.350000","24.210000","24.220000","-1.290000","-1.330000","23.500000","24.850000","22.900000","24.850000","23.660000","0.160000","-1.190000","54.256348","51.435534","80.831461","23.793103","-1.190000","0.760000","21.922504","83.657143"
"RCC","RCC","RC","","BB","8.000000","05/30/2025","2/15/2023","2/15/2026","0.360000","5.75%","23.910000","23.740000","172.29","Reit","","9.000000","","","","","","","0.760000","0.590000","24.560000","24.390000","-0.230000","0.430000","24.170000","26.870000","22.900000","26.870000","24.180000","0.010000","-2.690000","49.129383","45.197164","83.528090","44.482759","-2.690000","1.280000","39.806259","80.685714"
"RCD","RCD","RC","","","10.500000","07/09/2025","12/15/2026","12/15/2029","0.560000","9.00%","","","172.29","Reit","","49.000000","","","","","","","","","","","","","22.970000","25.550000","22.970000","25.550000","23.080000","0.110000","-2.470000","","","81.730337","41.448276","-2.470000","0.110000","37.183308","87.371429"
"RF PRC","RF-C","RF","NFF","","10.500000","06/02/2025","8/15/2029","NONE","0.360000","5.70%","","","898.77","Regionalbank","","12.000000","","","","","","","","","23.820000","23.820000","-1.830000","-1.850000","21.940000","25.560000","16.630000","25.560000","23.070000","1.130000","-2.490000","56.868198","53.278689","63.393258","41.724138","-2.490000","6.440000","37.421759","51.200000"
"RF PRF","RF-F","RF","NFF","","8.000000","07/25/2025","9/15/2029","NONE","0.430000","6.95%","","","898.77","Regionalbank","","65.000000","","","","","","","","","","","","","24.200000","26.670000","23.610000","26.670000","25.160000","0.960000","-1.510000","","","66.449438","28.206897","-1.510000","1.550000","25.737705","79.142857"
"RITM PRA","RITM-A","RITM","FF","","8.000000","07/25/2025","8/15/2024","NONE","0.640000","7.50%","","","529.83","Reit","","65.000000","","","","","","","","","25.380000","25.330000","-0.360000","-0.150000","24.360000","26.220000","20.850000","26.220000","25.110000","0.750000","-1.110000","49.758162","47.252991","70.224719","22.689655","-1.110000","4.260000","20.968703","63.657143"
"RITM PRB","RITM-B","RITM","FF","","8.000000","07/25/2025","8/15/2024","NONE","0.630000","7.13%","","","529.83","Reit","","65.000000","","","","","","","","","25.240000","25.190000","0.160000","0.380000","24.070000","25.860000","19.500000","25.860000","25.110000","1.040000","-0.750000","47.243047","45.374391","65.011236","17.724138","-0.750000","5.610000","16.676602","55.942857"
"RITM PRC","RITM-C","RITM","FF","","8.000000","07/25/2025","2/15/2025","NONE","0.590000","6.38%","","","529.83","Reit","","65.000000","","","","","","","","","24.680000","24.200000","0.160000","2.150000","22.800000","25.180000","17.120000","25.180000","24.560000","1.760000","-0.620000","47.243047","39.100576","52.067416","15.931034","-0.620000","7.440000","15.126677","45.485714"
"RITM PRD","RITM-D","RITM","NFF","","12.000000","08/01/2025","11/15/2026","NONE","0.440000","7.00%","","","529.83","Reit","","72.000000","","","","","","","","","23.990000","23.760000","0.500000","1.470000","22.330000","24.700000","18.810000","25.260000","24.020000","1.690000","-0.680000","45.598549","41.510855","53.325843","16.758621","-1.240000","5.210000","22.518629","58.228571"
"RIV PRA","RIV-A","RIV","","","9.500000","06/13/2025","5/15/2027","NONE","0.380000","6.00%","25.010000","22.060000","21.47","Cef","","23.000000","","","","","","","0.890000","-2.060000","23.340000","23.430000","-1.660000","-2.060000","22.400000","24.800000","21.890000","24.800000","22.670000","0.270000","-2.130000","56.045949","54.023039","78.853933","36.758621","-2.130000","0.780000","33.129657","83.542857"
"RJF PRB","RJF-B","RJF","","","8.000000","06/27/2025","7/1/2026","NONE","0.400000","6.38%","","","201.75","Assetmanagement","","37.000000","","","","","","","","","25.230000","25.210000","0.090000","0.140000","24.760000","26.450000","24.600000","26.450000","25.010000","0.250000","-1.440000","47.581620","46.225078","79.213483","27.241379","-1.440000","0.410000","24.903130","85.657143"
"RLJ PRA","RLJ-A","RLJ","","","8.000000","07/30/2025","NONE","NONE","0.490000","7.80%","26.330000","23.550000","151.76","Reit","","70.000000","","","","","","","1.100000","-1.680000","24.760000","25.130000","-0.440000","-1.910000","22.800000","26.630000","22.800000","26.630000","24.540000","1.740000","-2.090000","50.145103","53.491360","52.426966","36.206897","-2.090000","1.740000","32.652757","78.057143"
"RPT PRC","RPT-C","RPT","NFF","","8.000000","05/15/2025","5/15/2030","NONE","0.490000","9.88%","","","45.42","Reit","","84.000000","","","","","","","","","","","","","24.220000","25.500000","24.220000","25.500000","24.980000","0.760000","-0.520000","","","70.044944","14.551724","-0.520000","0.760000","13.934426","83.657143"
"RWAYL","RWAYL","RWAY","","BB","8.000000","05/15/2025","7/28/2024","7/28/2027","0.470000","7.50%","25.400000","24.300000","37.35","Creditservices","","84.000000","","","","","","","0.720000","-0.380000","25.030000","25.030000","-0.050000","-0.030000","24.580000","25.440000","23.520000","25.440000","24.990000","0.410000","-0.450000","48.258767","46.827647","76.337079","13.586207","-0.450000","1.470000","13.099851","79.600000"
"RWAYZ","RWAYZ","RWAY","","BB","8.000000","06/27/2025","12/31/2024","12/31/2027","0.500000","8.00%","","24.520000","37.35","Creditservices","","37.000000","","","","","","","0.500000","","25.220000","25.220000","-0.780000","-0.780000","24.830000","25.510000","23.740000","25.700000","24.730000","-0.100000","-0.780000","51.789601","49.486043","85.505618","18.137931","-0.970000","0.990000","19.299553","82.342857"
"RWT PRA","RWT-A","RWT","NFF","","8.000000","05/15/2025","4/15/2028","NONE","0.630000","10.00%","","","132.98","Reit","","84.000000","","","","","","","","","24.870000","25.210000","0.160000","-1.190000","20.770000","26.500000","19.620000","26.500000","24.870000","4.100000","-1.630000","47.243047","50.939300","10.000000","29.862069","-1.630000","5.250000","27.168405","58.000000"
"RWTN","RWTN","RWT","","BB","8.000000","05/15/2025","3/1/2026","3/1/2029","0.570000","9.13%","","","132.98","Reit","","84.000000","","","","","","","","","24.820000","25.110000","-2.080000","-3.240000","22.480000","25.890000","22.480000","27.100000","24.260000","1.780000","-1.630000","58.077388","58.205583","51.707865","29.862069","-2.840000","1.780000","41.594635","77.828571"
"RWTO","RWTO","RWT","","BB","8.000000","05/15/2025","9/1/2026","9/1/2029","0.560000","9.00%","","","132.98","Reit","","84.000000","","","","","","","","","","","","","22.250000","26.000000","22.250000","26.000000","24.480000","2.230000","-1.520000","","","43.617978","28.344828","-1.520000","2.230000","25.856930","75.257143"
"RWTP","RWTP","RWT","","","12.000000","05/30/2025","3/1/2027","3/1/2030","0.850000","9.13%","","","132.98","Reit","","9.000000","","","","","","","","","","","","","22.700000","25.250000","22.700000","25.250000","23.500000","0.800000","-1.750000","","","69.325843","31.517241","-1.750000","0.800000","28.599106","83.428571"
"RZB","RZB","RGA","","","12.000000","06/27/2025","6/15/2026","6/15/2056","0.360000","5.75%","","","66.07","Insurance","","37.000000","","","","","","","","","24.770000","24.930000","0.950000","0.280000","24.110000","26.000000","23.440000","26.470000","24.790000","0.680000","-1.210000","43.422007","45.728844","71.483146","24.068966","-1.680000","1.350000","27.764531","80.285714"
"RZC","RZC","RGA","","","8.000000","06/13/2025","10/15/2027","10/15/2052","0.450000","7.13%","","","66.07","Insurance","","23.000000","","","","","","","","","25.880000","26.160000","-0.040000","-1.120000","24.740000","27.330000","24.740000","29.200000","25.540000","0.800000","-1.790000","48.210399","50.691183","69.325843","32.068966","-3.660000","0.800000","51.371088","83.428571"
"SACH PRA","SACH-A","SACH","","","8.000000","05/15/2025","6/29/2026","NONE","0.480000","7.75%","24.150000","19.690000","47.31","Reit","","84.000000","","","","","","","-4.550000","-9.010000","16.170000","19.400000","-6.360000","-21.950000","12.540000","23.780000","12.540000","25.060000","15.110000","2.570000","-8.670000","78.778718","","37.505618","","-9.950000","2.570000","","73.314286"
"SAJ","SAJ","SAR","","BB","8.000000","05/15/2025","10/27/2024","10/31/2027","0.500000","8.00%","","24.680000","15.36","Assetmanagement","","84.000000","","","","","","","0.820000","","25.360000","25.260000","0.540000","0.950000","24.740000","25.750000","24.200000","26.490000","25.470000","0.730000","-0.280000","45.405079","43.354010","70.584270","11.241379","-1.020000","1.270000","19.895678","80.742857"
"SAT","SAT","SAR","","BB","8.000000","05/15/2025","4/27/2024","4/30/2027","0.380000","6.00%","24.990000","23.300000","15.36","Assetmanagement","","84.000000","","","","","","","1.180000","-0.510000","24.580000","24.420000","-0.420000","0.230000","23.910000","25.160000","22.750000","25.160000","24.450000","0.540000","-0.710000","50.048368","45.906070","74.000000","17.172414","-0.710000","1.700000","16.199702","78.285714"
"SAY","SAY","SAR","","BB","8.000000","05/15/2025","12/13/2024","12/31/2027","0.510000","8.13%","","25.010000","15.36","Assetmanagement","","84.000000","","","","","","","0.060000","","25.360000","25.300000","-1.140000","-0.900000","24.900000","25.980000","24.300000","25.980000","25.040000","0.140000","-0.940000","53.530834","49.911387","81.191011","20.344828","-0.940000","0.740000","18.941878","83.771429"
"SAZ","SAZ","SAR","","BB","8.000000","07/16/2025","4/14/2025","4/15/2028","0.530000","8.50%","","25.030000","15.36","Assetmanagement","","56.000000","","","","","","","0.170000","","25.410000","25.440000","-0.810000","-0.930000","24.900000","26.000000","24.520000","26.000000","25.000000","0.100000","-1.000000","51.934704","50.017723","81.910112","21.172414","-1.000000","0.480000","19.657228","85.257143"
"SB PRC","SB-C","SB","","","8.000000","07/16/2025","5/31/2019","NONE","0.500000","8.00%","25.200000","24.980000","105.27","Marineshipping","","56.000000","","","","","","","0.600000","0.380000","25.330000","25.540000","1.000000","0.140000","24.850000","26.500000","24.310000","26.500000","25.390000","0.540000","-1.110000","43.180169","46.225078","74.000000","22.689655","-1.110000","1.080000","20.968703","81.828571"
"SB PRD","SB-D","SB","","","8.000000","06/13/2025","6/30/2019","NONE","0.500000","8.00%","","","105.27","Marineshipping","","23.000000","","","","","","25.430000","","","25.330000","25.640000","0.380000","-0.800000","24.170000","26.140000","24.170000","26.900000","25.060000","0.890000","-1.080000","46.178960","49.556934","67.707865","22.275862","-1.840000","0.890000","29.672131","82.914286"
"SCCC","SCCC","SACH","","BB","8.000000","06/13/2025","9/30/2022","9/30/2025","0.480000","7.75%","25.200000","23.660000","47.31","Reit","","23.000000","","","","","","24.880000","1.220000","-0.320000","24.690000","24.740000","0.780000","0.580000","23.990000","25.200000","22.860000","25.200000","24.520000","0.530000","-0.680000","44.244256","44.665485","74.179775","16.758621","-0.680000","1.660000","15.842027","78.514286"
"SCCD","SCCD","SACH","","","8.000000","06/13/2025","9/20/2023","9/30/2026","0.380000","6.00%","23.820000","21.500000","47.31","Reit","","23.000000","","","","","","20.700000","-0.800000","-3.120000","20.970000","21.600000","-1.290000","-4.190000","19.000000","23.100000","19.000000","23.260000","20.420000","1.420000","-2.680000","54.256348","61.572884","58.179775","44.344828","-2.840000","1.420000","41.594635","79.885714"
"SCCE","SCCE","SACH","","BB","8.000000","06/13/2025","3/9/2024","3/30/2027","0.380000","6.00%","23.080000","20.880000","47.31","Reit","","23.000000","","","","","","19.220000","-1.660000","-3.860000","19.600000","20.890000","-1.950000","-7.990000","18.050000","22.530000","18.050000","23.330000","18.940000","0.890000","-3.590000","57.448609","75.042091","67.707865","56.896552","-4.390000","0.890000","60.074516","82.914286"
"SCCF","SCCF","SACH","","BB","8.000000","06/13/2025","5/11/2024","6/30/2027","0.450000","7.13%","24.650000","21.800000","47.31","Reit","","23.000000","","","","","","19.500000","-2.300000","-5.150000","19.490000","21.130000","0.030000","-7.720000","17.940000","22.940000","17.940000","24.050000","19.160000","1.220000","-3.780000","47.871826","74.085069","61.775281","59.517241","-4.890000","1.220000","66.035768","81.028571"
"SCCG","SCCG","SACH","","BB","10.500000","06/13/2025","8/23/2024","9/30/2027","0.500000","8.00%","","22.800000","47.31","Reit","","23.000000","","","","","","19.280000","-3.520000","","20.480000","21.960000","-5.870000","-12.210000","18.800000","24.330000","18.800000","24.450000","18.910000","0.110000","-5.420000","76.408706","90.000000","81.730337","82.137931","-5.540000","0.110000","73.785395","87.371429"
"SCE PRJ","SCE-J","EIX","NFF","","10.500000","06/13/2025","9/15/2025","NONE","0.340000","5.38%","","","384.94","Utility","","23.000000","","","","","","22.560000","","","22.770000","23.720000","-0.940000","-4.890000","20.700000","25.100000","18.940000","25.100000","22.310000","1.610000","-2.790000","52.563482","64.054054","54.764045","45.862069","-2.790000","3.370000","40.998510","68.742857"
"SCE PRK","SCE-K","EIX","NFF","","10.500000","06/13/2025","3/15/2026","NONE","0.340000","5.45%","","","384.94","Utility","","23.000000","","","","","","23.230000","","","23.310000","24.230000","-0.350000","-4.110000","21.910000","25.370000","20.980000","25.490000","22.980000","1.070000","-2.390000","49.709794","61.289322","64.471910","40.344828","-2.510000","2.000000","37.660209","76.571429"
"SCE PRM","SCE-M","EIX","","TP","10.500000","06/13/2025","11/22/2028","NONE","0.470000","7.50%","","","384.94","Utility","","23.000000","","","","","","22.900000","","","23.430000","25.520000","-2.250000","-10.280000","22.140000","27.550000","22.140000","27.550000","22.550000","0.410000","-5.000000","58.899637","83.159061","76.337079","76.344828","-5.000000","0.410000","67.347243","85.657143"
"SCE PRN","SCE-N","EIX","","TP","8.000000","06/27/2025","5/13/2029","NONE","0.430000","6.95%","","","384.94","Utility","","37.000000","","","","","","21.790000","","","","","","","20.710000","27.120000","20.710000","27.120000","21.540000","0.830000","-5.580000","","","68.786517","84.344828","-5.580000","0.830000","74.262295","83.257143"
"SEAL PRA","SEAL-A","SEAL","","","8.000000","06/27/2025","10/5/2021","NONE","0.560000","9.00%","","","-","-","","37.000000","","","","","","25.340000","","","25.380000","25.510000","-0.170000","-0.680000","24.500000","26.000000","23.600000","26.490000","25.010000","0.510000","-0.990000","48.839178","49.131591","74.539326","21.034483","-1.480000","1.410000","25.380030","79.942857"
"SEAL PRB","SEAL-B","SEAL","NFF","","8.000000","06/13/2025","10/15/2027","NONE","0.530000","8.50%","","","-","-","","23.000000","","","","","","25.570000","","","25.430000","25.690000","0.530000","-0.460000","23.920000","26.750000","22.640000","27.440000","25.180000","1.260000","-1.570000","45.453446","48.351794","61.056180","29.034483","-2.260000","2.540000","34.679583","73.485714"
"SNV PRD","SNV-D","SNV","FF","","8.000000","06/13/2025","6/21/2023","NONE","0.500000","6.30%","","","138.77","Regionalbank","","23.000000","","","","","","24.960000","","","25.040000","25.150000","-0.360000","-0.790000","23.510000","25.750000","22.280000","25.800000","24.580000","1.070000","-1.170000","49.758162","49.521489","64.471910","23.517241","-1.220000","2.300000","22.280179","74.857143"
"SNV PRE","SNV-E","SNV","FF","","12.000000","06/13/2025","7/1/2024","NONE","0.530000","5.88%","","","138.77","Regionalbank","","23.000000","","","","","","25.740000","","","25.690000","25.720000","0.180000","0.060000","24.210000","26.860000","19.550000","26.860000","25.350000","1.140000","-1.510000","47.146312","46.508640","63.213483","28.206897","-1.510000","5.800000","25.737705","54.857143"
"SOJF","SOJF","SO","","","8.000000","05/15/2025","3/15/2030","3/15/2085","0.410000","6.50%","","","1098.51","Utility","","84.000000","","","","","","25.590000","","","","","","","24.920000","26.990000","24.920000","26.990000","25.560000","0.640000","-1.430000","","","72.202247","27.103448","-1.430000","0.640000","24.783905","84.342857"
"SPMA","SPMA","SPMC","","","9.000000","05/15/2025","11/30/2026","11/30/2029","0.170000","8.00%","","","20.27","Assetmanagement","","84.000000","","","","","","24.730000","","","","","","","23.670000","25.200000","23.670000","25.200000","24.720000","1.050000","-0.480000","","","64.831461","14.000000","-0.480000","1.050000","13.457526","82.000000"
"SPNT PRB","SPNT-B","SPNT","NFF","","8.000000","06/13/2025","2/26/2026","NONE","0.500000","8.00%","","","116.79","Insurance","","23.000000","","","","","","25.180000","","","25.300000","25.350000","-0.460000","-0.680000","24.750000","25.780000","23.000000","25.780000","24.810000","0.060000","-0.970000","50.241838","49.131591","82.629213","20.758621","-0.970000","1.810000","19.299553","77.657143"
"SSSSL","SSSSL","SSSS","","BB","8.000000","06/13/2025","12/30/2024","12/30/2026","0.380000","6.00%","24.750000","23.350000","23.55","Assetmanagement","","23.000000","","","","","","24.640000","1.290000","-0.110000","24.600000","24.430000","0.180000","0.870000","24.160000","25.400000","22.390000","25.400000","24.360000","0.200000","-1.040000","47.146312","43.637572","80.112360","21.724138","-1.040000","1.970000","20.134128","76.742857"
"SWKHL","SWKHL","SWKH","","BB","8.000000","08/04/2025","Anytime","1/31/2027","0.560000","9.00%","","24.800000","12.27","Assetmanagement","","75.000000","","","","","","25.470000","0.670000","","25.270000","25.310000","0.790000","0.640000","24.590000","25.820000","24.470000","25.880000","25.380000","0.790000","-0.440000","44.195889","44.452813","69.505618","13.448276","-0.500000","0.910000","13.695976","82.800000"
"SYF PRB","SYF-B","SYF","NFF","","11.500000","08/08/2025","5/15/2029","NONE","0.520000","8.25%","","","380.67","Creditservices","","79.000000","","","","","","24.970000","","","25.270000","25.580000","-1.190000","-2.370000","23.300000","26.710000","23.300000","26.710000","24.910000","1.610000","-1.800000","53.772672","55.121843","54.764045","32.206897","-1.800000","1.610000","29.195231","78.800000"
"TFC PRI","TFC-I","TFC","FLR","","8.000000","06/13/2025","9/15/2011","NONE","0.320000","4.00%","","","1308.21","Regionalbank","","23.000000","","","","","","23.830000","","","22.800000","23.070000","4.520000","3.280000","20.400000","25.350000","19.010000","25.350000","23.590000","3.190000","-1.760000","26.154776","35.095259","26.359551","31.655172","-1.760000","4.580000","28.718331","61.828571"
"TFINP","TFINP","TFIN","","","8.000000","06/13/2025","6/30/2025","NONE","0.450000","7.13%","25.470000","19.200000","23.50","Regionalbank","","23.000000","","","","","","21.070000","1.870000","-4.400000","22.300000","22.580000","-5.530000","-6.700000","20.260000","24.400000","17.070000","24.400000","20.730000","0.470000","-3.670000","74.764208","70.469650","75.258427","58.000000","-3.670000","3.660000","51.490313","67.085714"
"TFSA","TFSA","-","","","12.000000","05/29/2025","2/10/2023","3/31/2026","0.440000","7.00%","","","-","-","","8.000000","","","","","","24.650000","","","24.480000","23.980000","0.670000","2.800000","23.370000","26.850000","21.600000","27.580000","24.250000","0.880000","-2.600000","44.776300","36.796633","67.887640","43.241379","-3.330000","2.650000","47.436662","72.857143"
"TPGXL","TPGXL","TPG","","BB","8.000000","06/12/2025","3/15/2029","3/15/2064","0.430000","6.95%","","","110.28","Assetmanagement","","22.000000","","","","","","24.580000","","","25.020000","25.670000","-1.770000","-4.240000","23.530000","26.430000","23.530000","27.000000","24.260000","0.730000","-2.170000","56.577993","61.750111","70.584270","37.310345","-2.740000","0.730000","40.402385","83.828571"
"TRINI","TRINI","TRIN","","BB","9.000000","06/09/2025","9/30/2026","9/30/2029","0.490000","7.88%","","","64.65","Assetmanagement","","19.000000","","","","","","25.460000","","","","","","","24.660000","26.880000","24.050000","26.880000","25.070000","0.410000","-1.810000","","","76.337079","32.344828","-1.810000","1.020000","29.314456","82.171429"
"TRTN PRA","TRTN-A","-","","","9.000000","06/09/2025","3/15/2024","NONE","0.530000","8.50%","26.490000","25.000000","-","-","","19.000000","","","","","","25.500000","0.500000","-0.990000","25.410000","25.670000","0.350000","-0.670000","23.960000","26.550000","23.960000","26.830000","25.080000","1.120000","-1.470000","46.324063","49.096145","63.573034","27.655172","-1.750000","1.120000","28.599106","81.600000"
"TRTN PRB","TRTN-B","-","","","9.000000","06/09/2025","9/15/2024","NONE","0.500000","8.00%","26.630000","23.670000","-","-","","19.000000","","","","","","24.530000","0.860000","-2.100000","24.880000","25.150000","-1.390000","-2.450000","22.750000","25.700000","22.750000","25.950000","24.140000","1.390000","-1.560000","54.740024","55.405405","58.719101","28.896552","-1.810000","1.390000","29.314456","80.057143"
"TRTN PRC","TRTN-C","-","","","9.000000","06/09/2025","12/15/2024","NONE","0.460000","7.38%","26.100000","22.320000","-","-","","19.000000","","","","","","22.990000","0.670000","-3.110000","23.760000","24.500000","-3.260000","-6.160000","21.930000","25.560000","21.930000","26.170000","22.630000","0.700000","-2.930000","63.784764","68.555605","71.123596","47.793103","-3.540000","0.700000","49.940387","84.000000"
"TRTN PRF","TRTN-F","-","","","19.500000","05/30/2025","3/15/2030","NONE","0.480000","7.63%","","","-","-","","9.000000","","","","","","24.100000","","","","","","","23.200000","25.350000","23.200000","25.350000","23.680000","0.480000","-1.670000","","","75.078652","30.413793","-1.670000","0.480000","27.645306","85.257143"
"TVC","TVC","GOOGL","","","19.500000","07/28/2025","","6/1/2028","0.130000","2.13%","","","9990.00","-","","68.000000","","","","","","23.650000","","","23.370000","22.920000","1.210000","3.170000","22.530000","25.330000","21.000000","25.330000","23.620000","1.090000","-1.710000","42.164450","35.485157","64.112360","30.965517","-1.710000","2.620000","28.122206","73.028571"
"TVE","TVE","GOOGL","","","8.000000","07/10/2025","","5/1/2029","0.140000","2.22%","","","9990.00","-","","50.000000","","","","","","23.280000","","","22.990000","22.490000","1.270000","3.490000","22.110000","25.300000","20.720000","25.300000","23.220000","1.110000","-2.080000","41.874244","34.350908","63.752809","36.068966","-2.080000","2.500000","32.533532","73.714286"
"TWO PRA","TWO-A","TWO","NFF","","8.000000","07/10/2025","4/26/2027","NONE","0.510000","8.13%","","","103.74","Reit","","50.000000","","","","","","23.010000","","","24.110000","24.080000","-4.540000","-4.440000","21.520000","25.390000","18.850000","25.390000","22.780000","1.260000","-2.610000","69.975816","62.459016","61.056180","43.379310","-2.610000","3.930000","38.852459","65.542857"
"TWO PRB","TWO-B","TWO","NFF","","8.000000","07/10/2025","7/27/2027","NONE","0.480000","7.63%","","","103.74","Reit","","50.000000","","","","","","22.840000","","","23.500000","23.600000","-2.820000","-3.230000","21.270000","25.430000","17.900000","25.430000","22.630000","1.360000","-2.800000","61.656590","58.170137","59.258427","46.000000","-2.800000","4.730000","41.117735","60.971429"
"TWO PRC","TWO-C","TWO","FF","","8.000000","05/29/2025","1/27/2025","NONE","0.600000","7.25%","","","103.74","Reit","","8.000000","","","","","","24.170000","","","24.490000","24.400000","-1.300000","-0.950000","22.250000","25.200000","18.550000","25.200000","23.620000","1.370000","-1.580000","54.304716","50.088613","59.078652","29.172414","-1.580000","5.070000","26.572280","59.028571"
"UCB PRI","UCB-I","UCB","","","8.000000","05/15/2025","9/15/2025","NONE","0.430000","6.88%","","","119.46","Regionalbank","","84.000000","","","","","","24.370000","","","24.650000","24.460000","-1.120000","-0.360000","23.500000","25.340000","18.380000","25.340000","24.340000","0.840000","-1.000000","53.434099","47.997342","68.606742","21.172414","-1.000000","5.960000","19.657228","53.942857"
"UMH PRD","UMH-D","UMH","","","12.500000","06/27/2025","1/22/2023","NONE","0.400000","6.38%","25.570000","20.850000","83.91","Reit","","37.000000","","","","","","22.190000","1.340000","-3.380000","22.440000","23.000000","-1.110000","-3.520000","20.990000","24.380000","19.830000","24.420000","21.950000","0.960000","-2.430000","53.385732","59.198051","66.449438","40.896552","-2.470000","2.120000","37.183308","75.885714"
"USB PRH","USB-H","USB","FLR","","8.000000","06/12/2025","4/15/2011","NONE","0.320000","3.50%","","","1557.99","Regionalbank","","22.000000","","","","","","21.000000","","","22.090000","21.890000","-4.930000","-4.070000","18.910000","24.000000","17.270000","24.000000","20.760000","1.850000","-3.240000","71.862152","61.147541","50.449438","52.068966","-3.240000","3.490000","46.363636","68.057143"
"VLYPN","VLYPN","VLY","NFF","","8.000000","06/13/2025","9/30/2029","NONE","0.520000","8.25%","","","559.85","Regionalbank","","23.000000","","","","","","25.510000","","","","","","","23.750000","26.880000","23.750000","26.880000","25.120000","1.370000","-1.760000","","","59.078652","31.655172","-1.760000","1.370000","28.718331","80.171429"
