PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
ECCX,ECCX,ECC,,BB,8.00,06/12/2025,4/30/2021,4/30/2028,0.42,6.69%,24.91,23.24,120.18,Cef,,,,,,,,24.61,1.37,-0.30,24.80,24.69,-0.77,-0.34,23.85,26.95,22.70,26.95
EFC PRA,EFC-A,EFC,FF,,8.00,06/27/2025,10/30/2024,NONE,0.61,6.75%,,,94.36,Reit,,,,,,,,25.04,,,24.99,24.91,0.18,0.53,21.50,25.54,20.06,25.54
EFC PRB,EFC-B,EFC,NFF,,8.00,06/27/2025,1/30/2027,NONE,0.39,6.25%,,,94.36,Reit,,,,,,,,22.90,,,22.83,22.26,0.33,2.87,20.29,23.75,18.24,23.75
EFC PRC,EFC-C,EFC,NFF,,8.00,06/27/2025,4/30/2028,,0.54,8.63%,,,94.36,Reit,,,,,,,,25.20,,,24.99,24.95,0.83,1.01,22.68,26.25,20.95,26.25
EFC PRD,EFC-D,EFC,,,8.00,06/18/2025,5/12/2022,NONE,0.44,7.00%,,,94.36,Reit,,,,,,,,23.00,,,23.32,22.91,-1.36,0.39,21.25,27.00,20.24,27.00
EICA,EICA,EIC,,Term,8.00,05/12/2025,10/31/2023,10/30/2026,0.10,5.00%,23.25,22.68,21.14,Cef,,,,,,,,24.18,1.50,0.93,24.15,23.78,0.13,1.70,23.51,24.60,22.29,24.60
EICB,EICB,EIC,,Term,8.00,05/12/2025,7/31/2025,7/31/2028,0.16,7.75%,,24.42,21.14,Cef,,,,,,,,24.89,0.47,,24.90,24.90,-0.04,-0.04,23.63,25.46,23.63,25.50
EICC,EICC,EIC,,Term,8.00,05/12/2025,4/3/2026,4/30/2029,0.17,8.00%,,,21.14,Cef,,,,,,,,24.95,,,25.01,25.02,-0.25,-0.27,23.75,25.25,23.75,25.45
EIIA,EIIA,-,,,9.00,05/12/2025,10/31/2026,10/31/2029,0.17,8.13%,,,-,-,,,,,,,,24.69,,,,,,,24.37,25.37,24.37,25.37
ESGRO,ESGRO,-,,,9.00,05/15/2025,3/1/2024,NONE,0.44,7.00%,25.62,22.50,-,-,,,,,,,,20.15,-2.35,-5.47,20.30,21.41,-0.76,-5.91,18.90,21.30,18.59,25.47
ESGRP,ESGRP,-,,,8.00,05/15/2025,9/1/2028,NONE,0.44,7.00%,25.18,22.44,-,-,,,,,,,,21.09,-1.35,-4.09,20.72,21.67,1.78,-2.67,18.52,21.94,18.52,26.12
ET PRI,ET-I,ETR,,,9.00,08/01/2025,Never,Never,0.21,9.25%,,,430.81,Utilities,,,,,,,,11.50,,,11.64,11.57,-1.16,-0.63,10.50,12.19,9.28,12.19
F PRD,F-D,F,,BB,8.00,04/30/2025,8/15/2027,8/15/2062,0.40,6.50%,,20.79,3980.84,Automanufacturers,,,,,,,,21.57,0.78,,23.17,24.50,-6.91,-11.97,20.85,26.06,20.10,26.19
FCRX,FCRX,CCAP,,BB,11.00,05/30/2025,5/25/2023,5/25/2026,0.31,5.00%,,23.25,37.06,Assetmanagement,,,,,,,,24.90,1.65,,24.70,24.45,0.79,1.86,23.91,25.00,22.50,25.00
FGN,FGN,FG,,BB,8.50,05/30/2025,12/15/2028,12/15/2053,0.50,7.95%,,,134.94,Insurance,,,,,,,,25.87,,,25.95,26.31,-0.29,-1.66,24.21,27.65,24.21,27.65
FGSN,FGSN,FG,,,8.50,07/01/2025,1/15/2030,1/15/2065,0.46,7.30%,,,134.94,Insurance,,,,,,,,23.59,,,,,,,20.51,25.02,20.51,25.02
FHN PRB,FHN-B,FHN,NFF,,8.50,07/17/2025,8/1/2025,NONE,0.42,6.63%,,,506.74,Regionalbank,,,,,,,,25.34,,,25.09,25.03,0.99,1.24,24.37,25.70,20.10,25.77
FHN PRC,FHN-C,FHN,NFF,,8.50,07/17/2025,5/1/2026,NONE,0.41,6.60%,,,506.74,Regionalbank,,,,,,,,25.00,,,25.12,25.00,-0.49,0.02,23.95,25.75,19.11,25.77
FHN PRE,FHN-E,FHN,,,10.50,06/25/2025,10/10/2025,NONE,0.41,6.50%,,,506.74,Regionalbank,,,,,,,,23.85,,,24.25,24.21,-1.64,-1.47,22.77,25.71,18.19,25.71
FITBI,FITBI,FITB,,,8.50,06/26/2025,12/31/2023,NONE,0.52,6.63%,,,667.97,Regionalbank,,,,,,,,25.49,,,25.65,25.69,-0.62,-0.77,24.75,26.25,24.11,26.25
FLG PRA,FLG-A,FLG,,,8.00,06/06/2025,6/17/2027,NONE,0.40,6.38%,,,415.83,Regionalbank,,,,,,,,22.48,,,22.40,20.76,0.35,8.29,19.69,24.15,8.50,24.15
FRMEP,FRMEP,FRME,,,8.00,07/28/2025,8/15/2025,NONE,0.47,7.50%,26.00,23.23,58.20,Regionalbank,,,,,,,,25.50,2.27,-0.50,25.37,25.39,0.52,0.45,23.38,25.90,22.79,26.43
GAINI,GAINI,GAIN,,,8.00,07/14/2025,2/1/2027,2/1/2030,0.49,7.88%,,,36.84,Assetmanagement,,,,,,,,25.32,,,,,,,24.60,25.53,24.60,25.53
GAINL,GAINL,GAIN,,BB,8.00,07/15/2025,8/1/2025,8/1/2028,0.50,8.00%,,25.07,36.84,Assetmanagement,,,,,,,,25.46,0.39,,25.69,25.75,-0.90,-1.13,25.27,26.66,24.70,27.13
GAINN,GAINN,GAIN,,BB,8.00,07/11/2025,5/1/2023,5/1/2026,0.31,5.00%,23.85,23.23,36.84,Assetmanagement,,,,,,,,24.97,1.74,1.12,24.81,24.55,0.63,1.71,24.20,25.28,23.00,25.28
GAINZ,GAINZ,GAIN,,BB,8.00,07/11/2025,11/1/2023,11/1/2028,0.31,4.75%,23.45,21.85,36.84,Assetmanagement,,,,,,,,23.10,1.25,-0.35,23.11,23.18,-0.04,-0.36,22.21,24.16,21.38,24.76
