"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","65.00","","","","","","25.09","1.23","-0.18","25.06","25.03","0.12","0.23","24.14","25.98","22.00","25.98","24.95","0.81","-1.03","47.44","45.91","69.15","21.59","-1.03","2.95","20.01","71.14","3922.00","4633.00","5822.00","4792.00","42.16","","","","338.04","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","65.00","","","","","","25.09","1.23","-0.18","25.06","25.03","0.12","0.23","24.14","25.98","22.00","25.98","24.95","0.81","-1.03","47.44","45.91","69.15","21.59","-1.03","2.95","20.01","71.14","3922.00","4633.00","5822.00","4792.00","42.16","","","","338.04","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","65.00","","","","","","25.09","1.23","-0.18","25.06","25.03","0.12","0.23","24.14","25.98","22.00","25.98","24.95","0.81","-1.03","47.44","45.91","69.15","21.59","-1.03","2.95","20.01","71.14","3922.00","4633.00","5822.00","4792.00","42.16","","","","338.04","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","65.00","","","","","","24.97","2.59","0.02","24.87","24.86","0.42","0.46","23.78","25.49","21.28","25.49","24.83","1.05","-0.66","45.99","45.09","64.83","16.48","-0.66","3.55","15.60","67.71","9303.00","10191.00","17783.00","12426.00","42.16","","","","330.88","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","65.00","","","","","","24.97","2.59","0.02","24.87","24.86","0.42","0.46","23.78","25.49","21.28","25.49","24.83","1.05","-0.66","45.99","45.09","64.83","16.48","-0.66","3.55","15.60","67.71","9303.00","10191.00","17783.00","12426.00","42.16","","","","330.88","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","65.00","","","","","","24.97","2.59","0.02","24.87","24.86","0.42","0.46","23.78","25.49","21.28","25.49","24.83","1.05","-0.66","45.99","45.09","64.83","16.48","-0.66","3.55","15.60","67.71","9303.00","10191.00","17783.00","12426.00","42.16","","","","330.88","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","65.00","","","","","","24.97","2.59","0.02","24.87","24.86","0.42","0.46","23.78","25.49","21.28","25.49","24.83","1.05","-0.66","45.99","45.09","64.83","16.48","-0.66","3.55","15.60","67.71","9303.00","10191.00","17783.00","12426.00","42.16","","","","330.88","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","65.00","","","","","","24.97","2.59","0.02","24.87","24.86","0.42","0.46","23.78","25.49","21.28","25.49","24.83","1.05","-0.66","45.99","45.09","64.83","16.48","-0.66","3.55","15.60","67.71","9303.00","10191.00","17783.00","12426.00","42.16","","","","330.88","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","55.00","","","","","","25.06","","","24.94","24.94","0.50","0.46","22.45","25.45","22.45","25.90","24.88","2.43","-0.57","45.60","45.09","40.02","15.24","-1.02","2.43","19.90","74.11","1803.00","2357.00","4993.00","3051.00","42.16","","","","324.16","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","55.00","","","","","","25.06","","","24.94","24.94","0.50","0.46","22.45","25.45","22.45","25.90","24.88","2.43","-0.57","45.60","45.09","40.02","15.24","-1.02","2.43","19.90","74.11","1803.00","2357.00","4993.00","3051.00","42.16","","","","324.16","1.00"
