"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"CIO PRA","CIO","","NR","1/8/2025","9/15/2021","","0.41","6.63","24.00","15.06","19.22","4.17","-4.77","18.53","18.58","3.75","3.51","16.86","21.06","14.16","21.79","47.00","19.03","2.17","-2.03","23.29","10.13","27.32","29.89","-4.97","3.97","62.28","36.09","-2.76","4.87","39.78","47.30","12294.00","5522.00","3307.00","7041.00","34.66","0.09","236.23","2.07","702.15"
"CLDT PRA","CLDT","","NR","12/27/2024","","","0.41","6.63","24.33","19.64","20.61","0.97","-3.72","20.54","21.54","0.36","-4.33","18.18","24.49","18.18","24.49","35.00","20.36","2.18","-4.13","43.15","44.35","27.04","60.16","-3.97","0.72","52.05","65.54","-4.13","2.18","59.78","71.95","5394.00","5812.00","4932.00","5379.00","39.06","0.08","316.25","2.07","702.15"
"CMS PRC","CMS","","10.5","1/2/2025","","","0.26","4.20","20.81","17.98","16.95","-1.03","-3.86","17.51","18.63","-3.20","-9.03","16.06","20.92","16.06","21.68","41.00","16.81","0.75","-4.11","64.00","64.86","66.36","59.87","-4.00","-1.17","52.35","82.66","-4.87","0.75","70.58","85.05","18811.00","16055.00","12225.00","15697.00","68.03","0.06","424.28","2.07","702.15"
"CMSC","CMS","BB","11.5","12/27/2024","10/15/2023","","0.37","5.88","25.19","21.74","22.16","0.42","-3.03","22.84","23.92","-2.97","-7.37","21.28","25.36","21.28","25.36","35.00","21.93","0.65","-3.43","62.65","57.62","69.11","50.07","-3.26","0.19","44.78","70.34","-3.43","0.65","49.56","85.97","22098.00","28668.00","39328.00","30031.00","69.39","0.07","415.61","2.07","702.15"
"CMSD","CMS","BB","11.5","11/15/2024","","","0.37","5.88","25.59","21.91","22.17","0.26","-3.42","23.05","24.01","-3.83","-7.66","21.72","25.30","21.72","25.31","83.00","22.14","0.42","-3.16","67.69","58.88","75.43","46.18","-3.45","0.23","46.73","69.98","-3.17","0.42","45.77","88.08","43405.00","42685.00","45777.00","43956.00","69.39","0.07","423.88","2.07","702.15"
"CNO PRA","CNO","BB","NR","11/15/2024","11/25/2025","","0.32","5.13","22.08","14.95","17.54","2.59","-4.54","18.99","20.03","-7.64","-12.45","16.54","22.22","14.56","22.53","83.00","17.52","0.98","-4.70","90.00","79.79","60.03","68.38","-4.56","2.57","58.08","48.78","-5.01","2.96","72.63","64.80","1523.00","1688.00","1302.00","1504.00","55.56","0.07","413.94","2.07","702.15"
"COF PRI","COF","","10","11/13/2024","","","0.31","5.00","23.21","16.12","19.05","2.93","-4.16","19.37","20.03","-1.67","-4.88","17.75","22.04","15.65","22.04","81.00","19.02","1.27","-3.02","55.04","46.75","52.06","44.16","-4.19","2.90","54.30","45.79","-3.02","3.37","43.58","61.04","104414.00","100232.00","88069.00","97571.00","73.19","0.07","399.10","2.07","702.15"
"COF PRJ","COF","","10","11/13/2024","","","0.30","4.80","21.90","15.54","18.14","2.60","-3.76","18.53","19.11","-2.08","-5.08","16.97","20.85","15.05","20.85","81.00","18.11","1.14","-2.74","57.44","47.62","55.64","40.13","-3.79","2.57","50.20","48.78","-2.74","3.06","39.49","63.88","100094.00","98177.00","65506.00","87926.00","73.19","0.07","398.77","2.07","702.15"
"COF PRK","COF","","10","11/13/2024","","","0.29","4.63","22.17","14.99","17.66","2.67","-4.51","17.93","18.84","-1.48","-6.29","16.46","21.07","14.64","21.07","81.00","17.63","1.17","-3.44","53.92","52.90","54.81","50.22","-4.54","2.64","57.88","48.14","-3.44","2.99","49.71","64.52","8615.00","9703.00","6031.00","8116.00","73.19","0.07","389.68","2.07","702.15"
"COF PRL","COF","","10","11/13/2024","","","0.27","4.38","20.06","13.84","16.70","2.86","-3.36","16.95","17.81","-1.46","-6.24","15.42","20.16","13.57","20.16","81.00","16.67","1.25","-3.49","53.81","52.68","52.61","50.94","-3.39","2.83","46.11","46.42","-3.49","3.10","50.44","63.52","47085.00","44641.00","36536.00","42754.00","73.19","0.07","394.77","2.07","702.15"
